 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.148         1.149         1.150         0.001         0.001     3.7     2   4    coarse levels           
       0.600         0.601         0.602         0.001         0.001     1.9     4   1    refine                  
       0.482         0.482         0.482         0.000         0.000     1.6     3   4    load balance            
       2.421         2.436         2.446         0.009         0.004     7.8     1   3    particles               
       0.843         0.844         0.848         0.002         0.002     2.7     3   1    io                      
       0.214         0.225         0.233         0.007         0.032     0.7     1   2    hydro - set unew        
       0.219         0.231         0.263         0.018         0.080     0.7     3   1    courant                 
      23.006        23.098        23.212         0.086         0.004    74.3     2   4    hydro - godunov         
       1.029         1.139         1.237         0.082         0.072     3.7     4   2    hydro - rev ghostzones  
       0.173         0.179         0.185         0.004         0.023     0.6     3   1    hydro - set uold        
       0.042         0.043         0.046         0.001         0.028     0.1     4   3    cooling                 
       0.312         0.314         0.316         0.001         0.004     1.0     3   4    hydro - ghostzones      
       0.310         0.311         0.312         0.000         0.001     1.0     3   1    flag                    
      31.079     100.0    TOTAL
