 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.579         0.579         0.580         0.000         0.001     3.8     2   4    coarse levels           
       0.305         0.306         0.306         0.000         0.001     2.0     4   1    refine                  
       0.252         0.252         0.252         0.000         0.000     1.6     3   4    load balance            
       1.128         1.135         1.141         0.005         0.004     7.4     1   3    particles               
       0.440         0.441         0.443         0.001         0.002     2.9     4   1    io                      
       0.107         0.113         0.118         0.004         0.036     0.7     1   2    hydro - set unew        
       0.104         0.111         0.127         0.009         0.083     0.7     3   1    courant                 
      11.431        11.472        11.511         0.034         0.003    74.4     2   4    hydro - godunov         
       0.519         0.557         0.600         0.033         0.059     3.6     4   2    hydro - rev ghostzones  
       0.086         0.089         0.092         0.002         0.023     0.6     3   1    hydro - set uold        
       0.021         0.022         0.023         0.001         0.033     0.1     4   3    cooling                 
       0.170         0.171         0.172         0.001         0.006     1.1     3   4    hydro - ghostzones      
       0.155         0.155         0.156         0.000         0.002     1.0     4   1    flag                    
      15.416     100.0    TOTAL
