 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.726         1.728         1.730         0.001         0.001     3.5     2   4    coarse levels           
       0.943         0.944         0.945         0.001         0.001     1.9     4   1    refine                  
       0.759         0.759         0.759         0.000         0.000     1.5     3   4    load balance            
       3.761         3.795         3.842         0.030         0.008     7.7     1   4    particles               
       1.287         1.289         1.295         0.003         0.002     2.6     2   1    io                      
       0.348         0.364         0.374         0.010         0.028     0.7     1   2    hydro - set unew        
       0.380         0.437         0.501         0.043         0.098     0.9     4   1    courant                 
      36.799        36.960        37.182         0.156         0.004    74.7     2   4    hydro - godunov         
       1.615         1.830         1.999         0.151         0.082     3.7     4   2    hydro - rev ghostzones  
       0.276         0.285         0.291         0.006         0.019     0.6     3   1    hydro - set uold        
       0.068         0.070         0.073         0.002         0.027     0.1     4   3    cooling                 
       0.476         0.479         0.482         0.002         0.005     1.0     3   4    hydro - ghostzones      
       0.488         0.489         0.490         0.001         0.001     1.0     4   1    flag                    
      49.473     100.0    TOTAL
