 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.825         0.826         0.827         0.001         0.001     4.0     2   4    coarse levels           
       0.400         0.401         0.401         0.000         0.001     2.0     4   1    refine                  
       0.322         0.322         0.322         0.000         0.000     1.6     3   4    load balance            
       1.498         1.507         1.513         0.006         0.004     7.4     1   3    particles               
       0.572         0.573         0.576         0.001         0.002     2.8     3   1    io                      
       0.140         0.148         0.154         0.005         0.034     0.7     1   2    hydro - set unew        
       0.145         0.153         0.174         0.012         0.080     0.7     2   1    courant                 
      15.171        15.219        15.261         0.042         0.003    74.3     2   4    hydro - godunov         
       0.700         0.739         0.791         0.039         0.053     3.6     4   2    hydro - rev ghostzones  
       0.114         0.117         0.120         0.002         0.018     0.6     3   1    hydro - set uold        
       0.028         0.029         0.031         0.001         0.029     0.1     4   3    cooling                 
       0.219         0.220         0.222         0.001         0.005     1.1     1   4    hydro - ghostzones      
       0.204         0.204         0.205         0.000         0.002     1.0     2   1    flag                    
      20.476     100.0    TOTAL
