 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.371         0.372         0.372         0.000         0.001     3.1     2   4    coarse levels           
       0.239         0.239         0.240         0.000         0.001     2.0     4   2    refine                  
       0.200         0.200         0.200         0.000         0.000     1.7     3   4    load balance            
       0.874         0.878         0.881         0.003         0.003     7.4     1   4    particles               
       0.326         0.326         0.328         0.001         0.002     2.7     4   1    io                      
       0.084         0.087         0.091         0.003         0.032     0.7     1   2    hydro - set unew        
       0.078         0.083         0.094         0.006         0.076     0.7     2   1    courant                 
       8.965         8.992         9.015         0.022         0.002    75.4     2   4    hydro - godunov         
       0.399         0.421         0.450         0.021         0.050     3.5     4   2    hydro - rev ghostzones  
       0.069         0.070         0.072         0.001         0.018     0.6     3   1    hydro - set uold        
       0.016         0.017         0.018         0.001         0.040     0.1     4   3    cooling                 
       0.107         0.108         0.109         0.001         0.008     0.9     3   4    hydro - ghostzones      
       0.121         0.121         0.121         0.000         0.001     1.0     2   1    flag                    
      11.925     100.0    TOTAL
