 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.123         0.123         0.124         0.000         0.002     2.8     2   4    coarse levels           
       0.090         0.090         0.090         0.000         0.001     2.0     4   2    refine                  
       0.072         0.072         0.072         0.000         0.000     1.6     2   4    load balance            
       0.312         0.314         0.316         0.002         0.006     7.1     4   3    particles               
       0.118         0.118         0.118         0.000         0.002     2.7     2   1    io                      
       0.032         0.033         0.035         0.001         0.031     0.8     4   2    hydro - set unew        
       0.023         0.025         0.028         0.002         0.089     0.6     3   1    courant                 
       3.400         3.403         3.408         0.003         0.001    76.8     2   4    hydro - godunov         
       0.138         0.144         0.147         0.003         0.023     3.2     4   2    hydro - rev ghostzones  
       0.024         0.025         0.026         0.001         0.036     0.6     3   4    hydro - set uold        
       0.006         0.006         0.006         0.000         0.043     0.1     4   2    cooling                 
       0.034         0.035         0.035         0.000         0.009     0.8     2   4    hydro - ghostzones      
       0.041         0.041         0.041         0.000         0.001     0.9     4   2    flag                    
       4.433     100.0    TOTAL
