 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.169         1.170         1.171         0.001         0.001     3.7     2   4    coarse levels           
       0.613         0.614         0.615         0.001         0.001     1.9     4   1    refine                  
       0.492         0.492         0.492         0.000         0.000     1.6     3   4    load balance            
       2.463         2.478         2.488         0.009         0.004     7.8     1   3    particles               
       0.855         0.856         0.860         0.002         0.002     2.7     3   1    io                      
       0.219         0.230         0.238         0.007         0.032     0.7     1   2    hydro - set unew        
       0.225         0.238         0.271         0.019         0.080     0.8     2   1    courant                 
      23.476        23.572        23.684         0.085         0.004    74.4     2   4    hydro - godunov         
       1.049         1.156         1.258         0.082         0.071     3.6     4   2    hydro - rev ghostzones  
       0.176         0.183         0.188         0.004         0.023     0.6     3   1    hydro - set uold        
       0.043         0.044         0.047         0.001         0.030     0.1     4   3    cooling                 
       0.319         0.320         0.322         0.001         0.004     1.0     3   4    hydro - ghostzones      
       0.316         0.317         0.318         0.000         0.001     1.0     3   1    flag                    
      31.697     100.0    TOTAL
