 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.786         1.788         1.790         0.001         0.001     3.5     2   4    coarse levels           
       0.978         0.980         0.981         0.001         0.001     1.9     4   1    refine                  
       0.784         0.784         0.784         0.000         0.000     1.5     1   4    load balance            
       3.895         3.929         3.976         0.030         0.008     7.7     1   4    particles               
       1.323         1.325         1.331         0.003         0.002     2.6     2   1    io                      
       0.362         0.378         0.388         0.010         0.027     0.7     1   2    hydro - set unew        
       0.395         0.452         0.515         0.043         0.094     0.9     4   1    courant                 
      38.115        38.279        38.511         0.164         0.004    74.7     2   4    hydro - godunov         
       1.675         1.900         2.072         0.158         0.083     3.7     4   2    hydro - rev ghostzones  
       0.286         0.295         0.301         0.006         0.020     0.6     3   1    hydro - set uold        
       0.071         0.073         0.076         0.002         0.026     0.1     4   3    cooling                 
       0.491         0.494         0.497         0.002         0.004     1.0     3   4    hydro - ghostzones      
       0.505         0.507         0.507         0.001         0.002     1.0     4   1    flag                    
      51.229     100.0    TOTAL
