 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.565         1.567         1.568         0.001         0.001     3.5     2   4    coarse levels           
       0.851         0.852         0.853         0.001         0.001     1.9     4   1    refine                  
       0.685         0.685         0.685         0.000         0.000     1.5     3   4    load balance            
       3.413         3.445         3.494         0.030         0.009     7.7     1   4    particles               
       1.164         1.166         1.171         0.003         0.002     2.6     2   1    io                      
       0.313         0.328         0.337         0.009         0.029     0.7     1   2    hydro - set unew        
       0.345         0.402         0.462         0.041         0.103     0.9     4   1    courant                 
      33.005        33.170        33.361         0.142         0.004    74.6     2   4    hydro - godunov         
       1.459         1.644         1.817         0.137         0.084     3.7     4   2    hydro - rev ghostzones  
       0.249         0.257         0.261         0.005         0.018     0.6     3   1    hydro - set uold        
       0.061         0.062         0.065         0.002         0.026     0.1     4   3    cooling                 
       0.426         0.429         0.431         0.002         0.004     1.0     3   4    hydro - ghostzones      
       0.439         0.440         0.441         0.001         0.001     1.0     4   1    flag                    
      44.487     100.0    TOTAL
