 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.175         0.176         0.176         0.000         0.001     3.1     2   4    coarse levels           
       0.117         0.117         0.117         0.000         0.001     2.1     4   2    refine                  
       0.107         0.107         0.107         0.000         0.000     1.9     3   4    load balance            
       0.413         0.416         0.418         0.002         0.004     7.3     1   3    particles               
       0.145         0.146         0.146         0.000         0.003     2.6     2   1    io                      
       0.040         0.042         0.043         0.001         0.032     0.7     4   2    hydro - set unew        
       0.032         0.036         0.040         0.003         0.089     0.6     2   1    courant                 
       4.284         4.303         4.320         0.013         0.003    75.6     2   4    hydro - godunov         
       0.180         0.196         0.215         0.014         0.069     3.4     4   2    hydro - rev ghostzones  
       0.031         0.032         0.033         0.001         0.023     0.6     3   1    hydro - set uold        
       0.008         0.008         0.009         0.000         0.033     0.1     4   2    cooling                 
       0.049         0.049         0.050         0.000         0.006     0.9     2   4    hydro - ghostzones      
       0.059         0.059         0.059         0.000         0.001     1.0     4   1    flag                    
       5.690     100.0    TOTAL
