 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.401         1.403         1.404         0.001         0.001     3.6     2   4    coarse levels           
       0.752         0.753         0.754         0.001         0.001     1.9     4   1    refine                  
       0.608         0.608         0.608         0.000         0.000     1.6     3   4    load balance            
       3.022         3.053         3.098         0.028         0.009     7.8     1   4    particles               
       1.032         1.034         1.038         0.003         0.003     2.6     3   1    io                      
       0.275         0.289         0.297         0.008         0.029     0.7     1   2    hydro - set unew        
       0.312         0.365         0.420         0.038         0.104     0.9     4   1    courant                 
      28.954        29.087        29.245         0.115         0.004    74.3     2   4    hydro - godunov         
       1.299         1.451         1.590         0.111         0.076     3.7     4   2    hydro - rev ghostzones  
       0.219         0.225         0.230         0.004         0.018     0.6     3   1    hydro - set uold        
       0.053         0.054         0.057         0.002         0.029     0.1     4   3    cooling                 
       0.378         0.380         0.383         0.002         0.005     1.0     3   4    hydro - ghostzones      
       0.388         0.388         0.389         0.001         0.001     1.0     4   1    flag                    
      39.124     100.0    TOTAL
