 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.533         1.535         1.536         0.001         0.001     3.5     2   4    coarse levels           
       0.832         0.834         0.835         0.001         0.001     1.9     4   1    refine                  
       0.672         0.672         0.672         0.000         0.000     1.5     3   4    load balance            
       3.329         3.361         3.409         0.030         0.009     7.7     1   4    particles               
       1.142         1.144         1.149         0.003         0.002     2.6     3   1    io                      
       0.305         0.321         0.329         0.009         0.029     0.7     1   2    hydro - set unew        
       0.339         0.395         0.454         0.041         0.103     0.9     4   1    courant                 
      32.179        32.333        32.511         0.133         0.004    74.5     2   4    hydro - godunov         
       1.429         1.601         1.763         0.129         0.081     3.7     4   2    hydro - rev ghostzones  
       0.243         0.250         0.255         0.004         0.018     0.6     3   1    hydro - set uold        
       0.059         0.060         0.063         0.002         0.030     0.1     4   3    cooling                 
       0.416         0.419         0.422         0.002         0.005     1.0     3   4    hydro - ghostzones      
       0.429         0.430         0.431         0.001         0.001     1.0     4   1    flag                    
      43.392     100.0    TOTAL
