 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.270         1.272         1.273         0.001         0.001     3.6     2   4    coarse levels           
       0.675         0.676         0.676         0.001         0.001     1.9     4   1    refine                  
       0.534         0.534         0.534         0.000         0.000     1.5     3   4    load balance            
       2.706         2.737         2.783         0.029         0.010     7.8     1   4    particles               
       0.931         0.933         0.937         0.002         0.002     2.7     3   1    io                      
       0.244         0.256         0.264         0.008         0.029     0.7     1   2    hydro - set unew        
       0.277         0.331         0.382         0.037         0.112     0.9     4   1    courant                 
      26.009        26.105        26.223         0.091         0.004    74.4     2   4    hydro - godunov         
       1.163         1.276         1.379         0.087         0.068     3.6     4   2    hydro - rev ghostzones  
       0.195         0.202         0.207         0.004         0.021     0.6     3   1    hydro - set uold        
       0.047         0.048         0.051         0.001         0.030     0.1     4   3    cooling                 
       0.342         0.345         0.347         0.002         0.005     1.0     3   4    hydro - ghostzones      
       0.347         0.347         0.348         0.001         0.001     1.0     4   1    flag                    
      35.092     100.0    TOTAL
