 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.811         0.811         0.812         0.001         0.001     4.1     2   4    coarse levels           
       0.392         0.393         0.393         0.000         0.001     2.0     4   1    refine                  
       0.310         0.310         0.310         0.000         0.000     1.6     3   4    load balance            
       1.458         1.468         1.475         0.006         0.004     7.4     1   3    particles               
       0.557         0.558         0.560         0.001         0.002     2.8     3   1    io                      
       0.137         0.144         0.150         0.005         0.034     0.7     1   2    hydro - set unew        
       0.141         0.149         0.170         0.012         0.080     0.7     3   1    courant                 
      14.799        14.842        14.883         0.039         0.003    74.3     2   4    hydro - godunov         
       0.681         0.719         0.766         0.037         0.051     3.6     4   2    hydro - rev ghostzones  
       0.110         0.114         0.118         0.003         0.023     0.6     3   1    hydro - set uold        
       0.027         0.029         0.030         0.001         0.031     0.1     4   3    cooling                 
       0.214         0.215         0.217         0.001         0.006     1.1     1   4    hydro - ghostzones      
       0.199         0.199         0.200         0.000         0.002     1.0     2   1    flag                    
      19.969     100.0    TOTAL
