 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.330         0.330         0.331         0.000         0.001     3.2     2   4    coarse levels           
       0.209         0.210         0.210         0.000         0.001     2.0     4   2    refine                  
       0.175         0.175         0.176         0.000         0.000     1.7     3   4    load balance            
       0.764         0.768         0.771         0.003         0.004     7.4     1   3    particles               
       0.286         0.287         0.288         0.001         0.002     2.7     4   1    io                      
       0.073         0.077         0.080         0.003         0.033     0.7     1   2    hydro - set unew        
       0.067         0.072         0.082         0.006         0.080     0.7     2   1    courant                 
       7.838         7.861         7.882         0.018         0.002    75.3     2   4    hydro - godunov         
       0.350         0.369         0.394         0.017         0.046     3.5     4   2    hydro - rev ghostzones  
       0.058         0.060         0.062         0.001         0.024     0.6     3   1    hydro - set uold        
       0.014         0.015         0.016         0.001         0.038     0.1     4   3    cooling                 
       0.096         0.097         0.098         0.001         0.007     0.9     3   4    hydro - ghostzones      
       0.110         0.110         0.110         0.000         0.001     1.1     2   1    flag                    
      10.440     100.0    TOTAL
