 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.107         0.107         0.108         0.000         0.002     2.8     2   4    coarse levels           
       0.079         0.079         0.080         0.000         0.001     2.0     4   2    refine                  
       0.072         0.072         0.072         0.000         0.000     1.9     2   4    load balance            
       0.270         0.272         0.274         0.002         0.006     7.0     4   3    particles               
       0.107         0.107         0.107         0.000         0.002     2.7     2   1    io                      
       0.028         0.029         0.030         0.001         0.033     0.7     4   2    hydro - set unew        
       0.019         0.022         0.024         0.002         0.098     0.6     3   1    courant                 
       2.981         2.984         2.991         0.004         0.001    76.5     2   4    hydro - godunov         
       0.123         0.131         0.134         0.004         0.033     3.4     4   2    hydro - rev ghostzones  
       0.020         0.021         0.022         0.001         0.044     0.5     2   4    hydro - set uold        
       0.005         0.005         0.005         0.000         0.037     0.1     4   2    cooling                 
       0.029         0.030         0.030         0.000         0.008     0.8     2   4    hydro - ghostzones      
       0.036         0.036         0.036         0.000         0.000     0.9     4   3    flag                    
       3.899     100.0    TOTAL
