 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.761         1.763         1.765         0.001         0.001     3.5     2   4    coarse levels           
       0.966         0.967         0.968         0.001         0.001     1.9     4   1    refine                  
       0.771         0.771         0.771         0.000         0.000     1.5     1   2    load balance            
       3.845         3.878         3.926         0.030         0.008     7.7     1   4    particles               
       1.309         1.311         1.316         0.003         0.002     2.6     2   1    io                      
       0.357         0.373         0.383         0.010         0.027     0.7     1   2    hydro - set unew        
       0.389         0.447         0.510         0.043         0.096     0.9     4   1    courant                 
      37.628        37.798        38.026         0.162         0.004    74.7     2   4    hydro - godunov         
       1.649         1.870         2.048         0.157         0.084     3.7     4   2    hydro - rev ghostzones  
       0.283         0.292         0.298         0.006         0.020     0.6     3   1    hydro - set uold        
       0.070         0.072         0.075         0.002         0.027     0.1     4   3    cooling                 
       0.485         0.488         0.492         0.002         0.005     1.0     3   4    hydro - ghostzones      
       0.498         0.499         0.500         0.001         0.002     1.0     4   1    flag                    
      50.575     100.0    TOTAL
