 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.885         1.887         1.890         0.002         0.001     3.5     2   4    coarse levels           
       1.039         1.041         1.042         0.001         0.001     1.9     4   1    refine                  
       0.837         0.837         0.837         0.000         0.000     1.5     3   4    load balance            
       4.122         4.156         4.205         0.031         0.007     7.6     1   4    particles               
       1.408         1.410         1.416         0.003         0.002     2.6     2   1    io                      
       0.384         0.401         0.412         0.011         0.027     0.7     1   2    hydro - set unew        
       0.417         0.475         0.540         0.043         0.091     0.9     4   1    courant                 
      40.512        40.688        40.938         0.175         0.004    74.8     2   4    hydro - godunov         
       1.770         2.012         2.198         0.169         0.084     3.7     4   2    hydro - rev ghostzones  
       0.304         0.313         0.319         0.006         0.018     0.6     3   1    hydro - set uold        
       0.076         0.078         0.081         0.002         0.025     0.1     4   3    cooling                 
       0.520         0.523         0.526         0.002         0.004     1.0     3   4    hydro - ghostzones      
       0.536         0.538         0.539         0.001         0.002     1.0     4   2    flag                    
      54.407     100.0    TOTAL
