 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.658         1.660         1.662         0.001         0.001     3.5     2   4    coarse levels           
       0.905         0.907         0.907         0.001         0.001     1.9     4   1    refine                  
       0.723         0.723         0.723         0.000         0.000     1.5     3   2    load balance            
       3.612         3.645         3.692         0.030         0.008     7.7     1   4    particles               
       1.235         1.237         1.242         0.003         0.002     2.6     2   1    io                      
       0.332         0.349         0.358         0.010         0.029     0.7     1   2    hydro - set unew        
       0.363         0.420         0.482         0.042         0.101     0.9     4   1    courant                 
      35.088        35.254        35.483         0.160         0.005    74.6     2   4    hydro - godunov         
       1.538         1.760         1.934         0.155         0.088     3.7     4   2    hydro - rev ghostzones  
       0.265         0.273         0.279         0.005         0.020     0.6     3   1    hydro - set uold        
       0.065         0.067         0.070         0.002         0.029     0.1     4   3    cooling                 
       0.458         0.460         0.464         0.002         0.005     1.0     3   4    hydro - ghostzones      
       0.468         0.469         0.469         0.001         0.002     1.0     4   1    flag                    
      47.265     100.0    TOTAL
