 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.404         0.404         0.405         0.000         0.001     3.1     2   4    coarse levels           
       0.260         0.260         0.260         0.000         0.001     2.0     4   2    refine                  
       0.225         0.225         0.225         0.000         0.000     1.7     3   4    load balance            
       0.948         0.952         0.956         0.003         0.003     7.3     1   3    particles               
       0.357         0.358         0.359         0.001         0.002     2.8     4   1    io                      
       0.090         0.095         0.098         0.003         0.033     0.7     1   2    hydro - set unew        
       0.086         0.091         0.102         0.007         0.075     0.7     3   1    courant                 
       9.749         9.779         9.811         0.026         0.003    75.4     2   4    hydro - godunov         
       0.427         0.457         0.490         0.025         0.054     3.5     4   2    hydro - rev ghostzones  
       0.074         0.076         0.078         0.001         0.017     0.6     3   1    hydro - set uold        
       0.018         0.019         0.019         0.001         0.028     0.1     4   3    cooling                 
       0.117         0.118         0.119         0.001         0.006     0.9     3   4    hydro - ghostzones      
       0.131         0.131         0.131         0.000         0.001     1.0     2   1    flag                    
      12.976     100.0    TOTAL
