 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.819         1.821         1.823         0.002         0.001     3.5     2   4    coarse levels           
       0.997         0.999         1.000         0.001         0.001     1.9     4   1    refine                  
       0.797         0.797         0.797         0.000         0.000     1.5     1   4    load balance            
       3.966         3.999         4.046         0.030         0.008     7.7     1   4    particles               
       1.352         1.354         1.360         0.003         0.002     2.6     2   1    io                      
       0.369         0.385         0.395         0.010         0.026     0.7     1   2    hydro - set unew        
       0.402         0.460         0.523         0.043         0.093     0.9     4   1    courant                 
      38.882        39.042        39.278         0.165         0.004    74.7     2   4    hydro - godunov         
       1.706         1.934         2.103         0.159         0.082     3.7     4   2    hydro - rev ghostzones  
       0.292         0.301         0.307         0.006         0.018     0.6     3   1    hydro - set uold        
       0.073         0.074         0.077         0.002         0.024     0.1     4   3    cooling                 
       0.500         0.503         0.506         0.002         0.004     1.0     3   4    hydro - ghostzones      
       0.514         0.515         0.516         0.001         0.002     1.0     4   1    flag                    
      52.230     100.0    TOTAL
