 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.898         0.899         0.900         0.001         0.001     4.0     2   4    coarse levels           
       0.443         0.444         0.444         0.000         0.001     2.0     4   1    refine                  
       0.346         0.346         0.346         0.000         0.000     1.5     3   4    load balance            
       1.671         1.681         1.689         0.007         0.004     7.4     1   3    particles               
       0.628         0.628         0.631         0.001         0.002     2.8     3   1    io                      
       0.157         0.165         0.170         0.005         0.032     0.7     1   2    hydro - set unew        
       0.161         0.171         0.195         0.014         0.079     0.8     3   1    courant                 
      16.817        16.887        16.946         0.056         0.003    74.4     2   4    hydro - godunov         
       0.769         0.824         0.899         0.054         0.066     3.6     4   2    hydro - rev ghostzones  
       0.127         0.130         0.134         0.002         0.018     0.6     3   1    hydro - set uold        
       0.031         0.032         0.034         0.001         0.027     0.1     4   3    cooling                 
       0.240         0.241         0.243         0.001         0.005     1.1     1   4    hydro - ghostzones      
       0.226         0.226         0.227         0.000         0.002     1.0     2   1    flag                    
      22.695     100.0    TOTAL
