 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       1.068         1.069         1.070         0.001         0.001     3.8     2   4    coarse levels           
       0.550         0.551         0.551         0.001         0.001     1.9     4   1    refine                  
       0.442         0.442         0.442         0.000         0.000     1.6     3   4    load balance            
       2.239         2.254         2.262         0.009         0.004     7.9     1   3    particles               
       0.771         0.772         0.776         0.002         0.002     2.7     3   1    io                      
       0.196         0.205         0.212         0.007         0.032     0.7     1   2    hydro - set unew        
       0.201         0.214         0.244         0.017         0.081     0.8     3   1    courant                 
      21.038        21.116        21.212         0.070         0.003    74.2     2   4    hydro - godunov         
       0.950         1.042         1.125         0.067         0.064     3.7     4   2    hydro - rev ghostzones  
       0.160         0.164         0.169         0.003         0.020     0.6     3   1    hydro - set uold        
       0.039         0.040         0.042         0.001         0.026     0.1     4   3    cooling                 
       0.293         0.295         0.296         0.001         0.004     1.0     3   4    hydro - ghostzones      
       0.286         0.286         0.287         0.000         0.001     1.0     3   1    flag                    
      28.476     100.0    TOTAL
