 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.031         0.031         0.031         0.000         0.001     3.1     2   1    coarse levels           
       0.023         0.023         0.023         0.000         0.001     2.3     4   2    refine                  
       0.026         0.026         0.026         0.000         0.000     2.7     1   3    load balance            
       0.071         0.072         0.073         0.001         0.010     7.3     4   2    particles               
       0.029         0.029         0.030         0.000         0.003     3.0     4   1    io                      
       0.008         0.008         0.008         0.000         0.025     0.8     4   2    hydro - set unew        
       0.004         0.005         0.005         0.000         0.079     0.5     2   1    courant                 
       0.729         0.733         0.736         0.003         0.004    73.7     1   4    hydro - godunov         
       0.039         0.042         0.046         0.003         0.063     4.2     4   1    hydro - rev ghostzones  
       0.005         0.006         0.007         0.001         0.126     0.6     2   4    hydro - set uold        
       0.001         0.001         0.001         0.000         0.066     0.1     2   4    cooling                 
       0.007         0.007         0.007         0.000         0.013     0.7     4   2    hydro - ghostzones      
       0.009         0.009         0.009         0.000         0.002     0.9     1   4    flag                    
       0.994     100.0    TOTAL
